ThreadsPerBlock,BlockX,BlockY,Time(s),Size,Steps,OutputFile
2,2,1,0.001235,100,100,cuda_non_square/block_2x1/size_100/heat_block_2x1_100_100.bmp
2,2,1,0.010898,100,1000,cuda_non_square/block_2x1/size_100/heat_block_2x1_100_1000.bmp
2,2,1,0.107811,100,10000,cuda_non_square/block_2x1/size_100/heat_block_2x1_100_10000.bmp
2,2,1,0.881778,100,100000,cuda_non_square/block_2x1/size_100/heat_block_2x1_100_100000.bmp
2,2,1,0.073267,1000,100,cuda_non_square/block_2x1/size_1000/heat_block_2x1_1000_100.bmp
2,2,1,0.731752,1000,1000,cuda_non_square/block_2x1/size_1000/heat_block_2x1_1000_1000.bmp
2,2,1,7.332274,1000,10000,cuda_non_square/block_2x1/size_1000/heat_block_2x1_1000_10000.bmp
2,2,1,73.512180,1000,100000,cuda_non_square/block_2x1/size_1000/heat_block_2x1_1000_100000.bmp
2,2,1,0.295665,2000,100,cuda_non_square/block_2x1/size_2000/heat_block_2x1_2000_100.bmp
2,2,1,2.954923,2000,1000,cuda_non_square/block_2x1/size_2000/heat_block_2x1_2000_1000.bmp
2,2,1,29.560312,2000,10000,cuda_non_square/block_2x1/size_2000/heat_block_2x1_2000_10000.bmp
2,2,1,297.145125,2000,100000,cuda_non_square/block_2x1/size_2000/heat_block_2x1_2000_100000.bmp
4,2,2,0.005259,100,100,cuda_results/block_2x2/size_100/heat_block_2x2_100_100.bmp
4,2,2,0.016198,100,1000,cuda_results/block_2x2/size_100/heat_block_2x2_100_1000.bmp
4,2,2,0.127033,100,10000,cuda_results/block_2x2/size_100/heat_block_2x2_100_10000.bmp
4,2,2,1.188867,100,100000,cuda_results/block_2x2/size_100/heat_block_2x2_100_100000.bmp
4,2,2,0.092147,1000,100,cuda_results/block_2x2/size_1000/heat_block_2x2_1000_100.bmp
4,2,2,0.867682,1000,1000,cuda_results/block_2x2/size_1000/heat_block_2x2_1000_1000.bmp
4,2,2,8.687619,1000,10000,cuda_results/block_2x2/size_1000/heat_block_2x2_1000_10000.bmp
4,2,2,87.567906,1000,100000,cuda_results/block_2x2/size_1000/heat_block_2x2_1000_100000.bmp
4,2,2,0.350258,2000,100,cuda_results/block_2x2/size_2000/heat_block_2x2_2000_100.bmp
4,2,2,3.445098,2000,1000,cuda_results/block_2x2/size_2000/heat_block_2x2_2000_1000.bmp
4,2,2,34.513164,2000,10000,cuda_results/block_2x2/size_2000/heat_block_2x2_2000_10000.bmp
4,2,2,346.811531,2000,100000,cuda_results/block_2x2/size_2000/heat_block_2x2_2000_100000.bmp
8,4,2,0.000599,100,100,cuda_non_square/block_4x2/size_100/heat_block_4x2_100_100.bmp
8,4,2,0.003636,100,1000,cuda_non_square/block_4x2/size_100/heat_block_4x2_100_1000.bmp
8,4,2,0.034878,100,10000,cuda_non_square/block_4x2/size_100/heat_block_4x2_100_10000.bmp
8,4,2,0.352829,100,100000,cuda_non_square/block_4x2/size_100/heat_block_4x2_100_100000.bmp
8,4,2,0.018934,1000,100,cuda_non_square/block_4x2/size_1000/heat_block_4x2_1000_100.bmp
8,4,2,0.189313,1000,1000,cuda_non_square/block_4x2/size_1000/heat_block_4x2_1000_1000.bmp
8,4,2,1.904085,1000,10000,cuda_non_square/block_4x2/size_1000/heat_block_4x2_1000_10000.bmp
8,4,2,19.137064,1000,100000,cuda_non_square/block_4x2/size_1000/heat_block_4x2_1000_100000.bmp
